epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.208,1.20353,2.95446,1.51062,0.92589,0.81809,0.84543,0.61472,0.99514,2.05725,1.45163,0.00026664,0.00026664,0.00026664
2,217.692,1.05841,1.2601,1.34407,0.42499,0.45952,0.36126,0.23437,1.01442,4.23694,1.59997,0.000538402,0.000538402,0.000538402
3,308.462,1.07139,0.99499,1.32888,0.88732,0.86075,0.89746,0.65376,1.08784,1.56376,1.77951,0.000804053,0.000804053,0.000804053
4,393.162,1.09491,1.00665,1.36643,0.8318,0.30357,0.40683,0.28863,1.45994,3.15656,2.4878,0.00106359,0.00106359,0.00106359
5,478.56,1.0453,0.90641,1.31221,0.71885,0.3119,0.50968,0.24976,1.88295,2.14656,2.93642,0.00106212,0.00106212,0.00106212
6,562.604,1.03082,0.93062,1.31886,0.6974,0.64167,0.69659,0.5704,0.76536,2.62429,1.21926,0.00104989,0.00104989,0.00104989
7,653.476,1.01231,0.83775,1.29137,0.9145,0.7451,0.82918,0.59954,1.14143,1.17537,1.55255,0.00103767,0.00103767,0.00103767
8,731.75,1.06372,0.86139,1.32873,0.6045,0.64524,0.64129,0.34766,1.70926,2.18481,1.99971,0.00102545,0.00102545,0.00102545
9,820.004,0.98009,0.78454,1.283,0.84577,0.80028,0.90224,0.62744,1.01311,1.03996,1.44611,0.00101323,0.00101323,0.00101323
10,903.147,0.96127,0.7269,1.257,0.6263,0.66772,0.67657,0.42073,1.25776,1.11067,1.67636,0.00100101,0.00100101,0.00100101
11,985.407,0.97192,0.73534,1.2659,0.58472,0.79277,0.73601,0.46143,1.23605,2.0615,1.50515,0.00098879,0.00098879,0.00098879
12,1072.12,0.94403,0.71832,1.24224,0.78207,0.8252,0.9019,0.56377,1.06289,1.27204,1.4515,0.000976569,0.000976569,0.000976569
13,1159.08,0.97831,0.74321,1.27106,0.94345,0.91071,0.96328,0.77105,0.75928,0.54481,1.19882,0.000964348,0.000964348,0.000964348
14,1241.45,0.98289,0.68915,1.24954,0.9269,0.90665,0.96154,0.80449,0.69042,0.46113,1.13545,0.000952127,0.000952127,0.000952127
15,1325.21,0.95577,0.70575,1.22675,0.98704,0.92105,0.97395,0.80129,0.69506,0.45279,1.13477,0.000939906,0.000939906,0.000939906
16,1417.89,0.93107,0.65763,1.23677,0.97516,0.92398,0.96776,0.81003,0.66237,0.46197,1.12719,0.000927685,0.000927685,0.000927685
17,1502.14,0.90788,0.65109,1.20679,0.96859,0.95841,0.97564,0.80818,0.66352,0.5474,1.11078,0.000915464,0.000915464,0.000915464
18,1588.14,0.92135,0.68482,1.22594,0.96436,0.98214,0.97904,0.82584,0.63595,0.50096,1.09118,0.000903243,0.000903243,0.000903243
19,1672.13,0.84395,0.61936,1.18743,0.95673,0.875,0.954,0.79617,0.68146,0.43858,1.14306,0.000891022,0.000891022,0.000891022
20,1756.06,0.81201,0.5771,1.16227,0.98535,0.8744,0.96689,0.83385,0.6352,0.49138,1.14757,0.000878801,0.000878801,0.000878801
21,1836.25,0.82665,0.61226,1.17476,0.98515,0.90737,0.9601,0.78683,0.64828,0.4338,1.08453,0.00086658,0.00086658,0.00086658
22,1930.31,0.8337,0.5809,1.16393,0.99247,0.97879,0.98019,0.8051,0.71555,0.43384,1.13376,0.000854359,0.000854359,0.000854359
23,2021.41,0.83754,0.58023,1.18703,0.98188,0.98214,0.9803,0.82852,0.6945,0.35925,1.09362,0.000842138,0.000842138,0.000842138
24,2108.24,0.81352,0.54002,1.16035,0.99296,0.91071,0.92391,0.7957,0.64173,0.6126,1.12471,0.000829917,0.000829917,0.000829917
25,2194.47,0.81151,0.5436,1.15102,0.95982,0.96429,0.97686,0.80498,0.68864,0.43199,1.11734,0.000817696,0.000817696,0.000817696
26,2280.24,0.83321,0.57313,1.16478,1,0.886,0.96563,0.80971,0.70079,0.48501,1.12596,0.000805475,0.000805475,0.000805475
27,2365.54,0.81825,0.56404,1.15515,0.98153,0.98214,0.98085,0.83326,0.61331,0.33489,1.08513,0.000793254,0.000793254,0.000793254
